,ZIPCODE,County,Total_daily_wateruse(kgal/d),Precipitation_decade,Average Precipitation(inches/d),wastewater_treat_plant,Flow_annual_avg_MGD,Capacity_MGD
0,11236,Kings County,239.4562378473697,1901,0.006480971911003597,26TH WARD,51.0,85.0
1,11236,Kings County,239.4562378473697,1911,0.006553393161997306,26TH WARD,51.0,85.0
2,11236,Kings County,239.4562378473697,1921,0.006164274948492799,26TH WARD,51.0,85.0
3,11236,Kings County,239.4562378473697,1931,0.006297436603545749,26TH WARD,51.0,85.0
4,11236,Kings County,239.4562378473697,1941,0.006336129409016178,26TH WARD,51.0,85.0
5,11236,Kings County,239.4562378473697,1951,0.006736490437695113,26TH WARD,51.0,85.0
6,11236,Kings County,239.4562378473697,1961,0.005773696629121482,26TH WARD,51.0,85.0
7,11236,Kings County,239.4562378473697,1971,0.007283300084814955,26TH WARD,51.0,85.0
8,11236,Kings County,239.4562378473697,1981,0.006851546779999634,26TH WARD,51.0,85.0
9,11236,Kings County,239.4562378473697,1991,0.006436730703239295,26TH WARD,51.0,85.0
10,11236,Kings County,239.4562378473697,2001,0.0070547935166593995,26TH WARD,51.0,85.0
11,11236,Kings County,239.4562378473697,2011,0.007037564267431057,26TH WARD,51.0,85.0
12,11236,Kings County,239.4562378473697,1901,0.006480971911003597,CONEY ISLAND,80.58333333,110.0
13,11236,Kings County,239.4562378473697,1911,0.006553393161997306,CONEY ISLAND,80.58333333,110.0
14,11236,Kings County,239.4562378473697,1921,0.006164274948492799,CONEY ISLAND,80.58333333,110.0
15,11236,Kings County,239.4562378473697,1931,0.006297436603545749,CONEY ISLAND,80.58333333,110.0
16,11236,Kings County,239.4562378473697,1941,0.006336129409016178,CONEY ISLAND,80.58333333,110.0
17,11236,Kings County,239.4562378473697,1951,0.006736490437695113,CONEY ISLAND,80.58333333,110.0
18,11236,Kings County,239.4562378473697,1961,0.005773696629121482,CONEY ISLAND,80.58333333,110.0
19,11236,Kings County,239.4562378473697,1971,0.007283300084814955,CONEY ISLAND,80.58333333,110.0
20,11236,Kings County,239.4562378473697,1981,0.006851546779999634,CONEY ISLAND,80.58333333,110.0
21,11236,Kings County,239.4562378473697,1991,0.006436730703239295,CONEY ISLAND,80.58333333,110.0
